onset	duration	name	type	units	filetype	channel	connector	port	description	sampling_freq	low_cutoff	high_cutoff	notch	status	status_description	resolution_in_units	acquisition_reference
61870	3029	ecog_L101	ECOG	uV	trellis.nf6	hifreq 1	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L102	ECOG	uV	trellis.nf6	hifreq 2	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L103	ECOG	uV	trellis.nf6	hifreq 3	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L104	ECOG	uV	trellis.nf6	hifreq 4	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L105	ECOG	uV	trellis.nf6	hifreq 5	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L106	ECOG	uV	trellis.nf6	hifreq 6	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L107	ECOG	uV	trellis.nf6	hifreq 7	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L108	ECOG	uV	trellis.nf6	hifreq 8	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L109	ECOG	uV	trellis.nf6	hifreq 9	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L110	ECOG	uV	trellis.nf6	hifreq 10	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L111	ECOG	uV	trellis.nf6	hifreq 11	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L112	ECOG	uV	trellis.nf6	hifreq 12	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L113	ECOG	uV	trellis.nf6	hifreq 13	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L114	ECOG	uV	trellis.nf6	hifreq 14	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L115	ECOG	uV	trellis.nf6	hifreq 15	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L116	ECOG	uV	trellis.nf6	hifreq 16	1	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L117	ECOG	uV	trellis.nf6	hifreq 17	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L118	ECOG	uV	trellis.nf6	hifreq 18	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L119	ECOG	uV	trellis.nf6	hifreq 19	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L120	ECOG	uV	trellis.nf6	hifreq 20	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L121	ECOG	uV	trellis.nf6	hifreq 21	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L122	ECOG	uV	trellis.nf6	hifreq 22	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L123	ECOG	uV	trellis.nf6	hifreq 23	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L124	ECOG	uV	trellis.nf6	hifreq 24	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L125	ECOG	uV	trellis.nf6	hifreq 25	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L126	ECOG	uV	trellis.nf6	hifreq 26	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L127	ECOG	uV	trellis.nf6	hifreq 27	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L128	ECOG	uV	trellis.nf6	hifreq 28	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L129	ECOG	uV	trellis.nf6	hifreq 29	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L130	ECOG	uV	trellis.nf6	hifreq 30	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L131	ECOG	uV	trellis.nf6	hifreq 31	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L132	ECOG	uV	trellis.nf6	hifreq 32	2	A1		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L133	ECOG	uV	trellis.nf6	hifreq 33	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L134	ECOG	uV	trellis.nf6	hifreq 34	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L135	ECOG	uV	trellis.nf6	hifreq 35	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L136	ECOG	uV	trellis.nf6	hifreq 36	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L137	ECOG	uV	trellis.nf6	hifreq 37	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L138	ECOG	uV	trellis.nf6	hifreq 38	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L139	ECOG	uV	trellis.nf6	hifreq 39	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L140	ECOG	uV	trellis.nf6	hifreq 40	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L141	ECOG	uV	trellis.nf6	hifreq 41	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L142	ECOG	uV	trellis.nf6	hifreq 42	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L143	ECOG	uV	trellis.nf6	hifreq 43	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L144	ECOG	uV	trellis.nf6	hifreq 44	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L145	ECOG	uV	trellis.nf6	hifreq 45	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L146	ECOG	uV	trellis.nf6	hifreq 46	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L147	ECOG	uV	trellis.nf6	hifreq 47	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L148	ECOG	uV	trellis.nf6	hifreq 48	3	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L149	ECOG	uV	trellis.nf6	hifreq 49	4	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L150	ECOG	uV	trellis.nf6	hifreq 50	4	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L151	ECOG	uV	trellis.nf6	hifreq 51	4	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L152	ECOG	uV	trellis.nf6	hifreq 52	4	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L153	ECOG	uV	trellis.nf6	hifreq 53	4	A2		7500	0	500	0			0.022	dura_1
61870	3029	ecog_L154	ECOG	uV	trellis.nf6	hifreq 54	4	A2		7500	0	500	0			0.022	dura_1
